Year,State,Kidney disease Deaths,Kidney disease Death rate,Alzheimers disease Deaths,Alzheimers disease Death rate,Stroke Deaths,Stroke Death rate,CLRD Deaths,CLRD Death rate,Diabetes Deaths,Diabetes Death rate,Heart disease Deaths,Heart disease Death rate,Influenze and Pneu Deaths,Influenze and Pneu Death rate,Suicide Deaths,Suicide Death rate,Cancer Deaths,Cancer Death rate,Unintentional Injury Deaths,Unintentional Injury Death rate
2015,New York,2245,9.3,3174,12.6,6292,26,7109,29.9,4045,17.1,44450,181.6,4881,20,1652,7.8,35089,148.4,6515,30.2
2015,North Carolina,1821,16,3803,34.8,5033,44.7,5221,45.5,2746,23.6,18474,162.4,2115,18.7,1406,13.4,19322,164.7,4991,47.9
2015,North Dakota,118,12.5,376,36.7,308,33.4,351,40,195,22.6,1323,142.4,172,17.7,124,17.5,1320,152.9,368,44.1
2015,Ohio,2100,14.5,4643,31.1,5945,40.7,7211,49.6,3645,25.3,28069,191.7,2445,16.6,1650,13.9,25396,175.1,6756,55.9
2015,Oklahoma,616,14.2,1498,34.7,1881,43,2924,65.8,1442,32.4,10310,234,717,16.5,790,20.3,8280,184.3,2422,60.1
2015,Oregon,409,8.2,1652,33,1873,37.5,2119,42.4,1148,22.9,6859,136.1,453,9,762,17.8,8093,160.2,1999,44.5
2015,Pennsylvania,3021,16.9,4012,21,6987,38.8,6664,38.1,3777,22.1,32042,177.8,2899,15.9,1894,14,28697,167.2,7324,52
2015,Rhode Island,142,9.8,453,28.8,394,27.1,510,36.9,276,20.2,2371,160.4,246,16.2,127,11.2,2226,163.1,649,53.1
2015,South Carolina,886,15.5,2453,46.2,2600,46.7,2908,49.9,1347,23.4,10092,177.8,848,15.3,742,14.8,9950,166.6,2737,54
2015,South Dakota,79,7.4,421,34.8,383,33.2,502,45.3,282,26.3,1711,150.9,213,18.2,173,20.4,1640,154,469,49.5
2015,Tennessee,1090,14.4,3122,43.4,3447,46,4239,54.9,1798,23.4,15730,207.3,1723,23.3,1068,15.7,14214,180.5,3873,56.4
2015,Texas,4052,16.1,8903,38.2,10485,42.7,10231,41.3,5521,21.2,43298,171.6,3214,13,3403,12.5,39121,149.2,9976,37.4
2015,United States,49959,13.4,110561,29.4,140323,37.6,155041,41.6,79535,21.3,633842,168.5,57062,15.2,44193,13.3,595930,158.5,146571,43.2
2015,Utah,363,15.6,906,40.7,888,38.4,811,33.9,604,24.6,3598,152.9,372,15.7,630,22.4,3091,125.2,1223,45.6
2015,Vermont,39,4.5,298,35.1,307,36.4,357,42.3,159,19.8,1311,152.5,85,10,103,14.8,1399,165.3,346,48.4
2015,Virginia,1470,16.1,2248,25.6,3393,38,3370,37.1,2044,21.9,14077,154.2,1416,15.7,1118,12.7,14947,159.5,3429,39.6
2015,Washington,474,5.9,3490,44.4,2703,34.2,3154,39.7,1811,22.4,11025,137.6,851,10.7,1137,15.4,12687,156.4,3192,41.9
2015,West Virginia,510,20.4,738,30,1079,43.8,1628,64.6,784,31.7,4727,191.3,526,21.2,340,17.4,4839,190.4,1516,77.9
2015,Wisconsin,996,13.7,2087,27.5,2618,35.6,2846,39.3,1382,19.4,11473,156,1052,14.2,877,14.7,11423,159.3,3206,49.3
2015,Wyoming,86,13.3,151,24.2,198,31.4,368,57.1,136,20.8,1030,159.4,99,16,157,28,931,139.4,400,65.8
2014,Alabama,1011,18.2,1885,35.3,2663,48.3,3050,53.6,1281,22.8,12461,224,1031,18.8,715,14.5,10286,177.6,2463,49.3
2014,Alaska,45,10.1,68,17.2,157,32.3,192,38.8,113,19.4,782,146.6,68,14.1,167,22.1,972,164.2,379,55
2014,Arizona,325,4.1,2485,31.6,2235,28.3,3396,42.2,1936,24.3,10805,136.4,779,10,1244,18,11455,142.7,3322,47
2014,Arkansas,672,19.2,1193,34.8,1583,45.4,2092,58.9,828,24,7581,217.5,710,20.7,515,17.3,6546,183.1,1458,47.4
2014,California,3119,7.7,12644,30.9,13731,33.9,12780,32,8249,20.4,58189,142.2,5970,14.7,4214,10.5,58412,144.1,11804,29.2
2014,Colorado,448,8.5,1364,27.4,1714,33.4,2451,47.2,835,15.5,6900,130.3,701,13.3,1083,19.9,7405,136,2517,47.1
2014,Connecticut,605,12.9,923,18.4,1266,26.3,1368,30.2,685,14.9,7018,145.6,644,13.3,379,9.8,6621,146.7,1641,40.9
2014,Delaware,173,14.8,188,16.6,439,38.8,458,40.2,226,19.8,1921,168.7,156,13.8,126,13.2,1972,167.3,425,43.7
2014,District of Columbia,49,8,119,18.3,214,33.6,136,21.9,119,18.8,1324,207.8,74,11.5,52,7.8,1116,178.6,217,33.1
2014,Florida,3076,10.6,5874,18.8,9770,33,11178,38,5371,19.2,44511,151.3,2719,9.6,3035,13.9,43212,152.9,9432,41.4
